module,en_start,jp-rev0,jp-rev0_confidence,jp-revA,jp-revA_confidence,kr,kr_confidence,en,en_confidence,de,de_confidence,fr,fr_confidence,it,it_confidence,es,es_confidence
vblank,0x0150,0x0150,exact,0x0150,exact,0x0150,exact,0x0150,reference,0x0150,exact,0x0150,exact,0x0150,exact,0x0150,exact
delay,0x032E,0x032E,exact,0x032E,exact,0x032E,exact,0x032E,reference,0x032E,exact,0x032E,exact,0x032E,exact,0x032E,exact
time_palettes,0x0343,0x0343,exact,0x0343,exact,0x0343,exact,0x0343,reference,0x0343,exact,0x0343,exact,0x0343,exact,0x0343,exact
fade,0x0360,0x0360,exact,0x0360,exact,0x0360,exact,0x0360,reference,0x0360,exact,0x0360,exact,0x0360,exact,0x0360,exact
lcd,0x041B,0x041B,exact,0x041B,exact,0x041B,exact,0x041B,reference,0x041B,exact,0x041B,exact,0x041B,exact,0x041B,exact
time,0x045B,0x045B,exact,0x045B,exact,0x045F,exact,0x045B,reference,0x045B,exact,0x045B,exact,0x045B,exact,0x045B,exact
init,0x05B0,0x05AF,exact,0x05AF,exact,0x05B4,exact,0x05B0,reference,0x05B0,exact,0x05B0,exact,0x05B0,exact,0x05B0,exact
serial,0x06AA,0x06A9,exact,0x06A9,exact,0x0698,exact,0x06AA,reference,0x06AA,exact,0x06AA,exact,0x06AA,exact,0x06AA,exact
joypad,0x08DF,0x08DE,exact,0x08DE,exact,0x08D2,exact,0x08DF,reference,0x08DF,exact,0x08DF,exact,0x08DF,exact,0x08DF,exact
decompress,0x0AF0,0x0AD9,exact,0x0AD9,exact,0x0AE3,exact,0x0AF0,reference,0x0AF0,exact,0x0AF0,exact,0x0AF0,exact,0x0AF0,exact
palettes,0x0BDF,0x0BC8,exact,0x0BC8,exact,0x0BD2,exact,0x0BDF,reference,0x0BDF,exact,0x0BDF,exact,0x0BDF,exact,0x0BDF,exact
gfx,0x0D70,0x0D59,exact,0x0D59,exact,0x0D6E,exact,0x0D70,reference,0x0D70,exact,0x0D70,exact,0x0D70,exact,0x0D70,exact
text,0x0EBD,0x0E8F,exact,0x0E8F,exact,0x0EE1,near_prev,0x0EBD,reference,0x0EBD,exact,0x0EBD,exact,0x0EBD,exact,0x0EBD,exact
video,0x1458,0x142D,exact,0x142D,exact,0x153F,exact,0x1458,reference,0x147C,exact,0x1461,exact,0x1476,exact,0x1475,exact
map_objects,0x169C,0x1649,exact,0x1649,exact,0x16EF,exact,0x169C,reference,0x16C0,exact,0x16A5,exact,0x16BA,exact,0x16B9,exact
sine,0x19AC,0x1959,exact,0x1959,exact,0x19FF,exact,0x19AC,reference,0x19D0,exact,0x19B5,exact,0x19CA,exact,0x19C9,exact
movement,0x19BB,0x1968,exact,0x1968,exact,0x1A0E,exact,0x19BB,reference,0x19DF,exact,0x19C4,exact,0x19D9,exact,0x19D8,exact
menu,0x1A4E,0x19FB,exact,0x19FB,exact,0x1AA1,exact,0x1A4E,reference,0x1A72,exact,0x1A57,exact,0x1A6C,exact,0x1A6B,exact
printer,0x1EB3,0x1E60,exact,0x1E60,exact,0x1F10,exact,0x1EB3,reference,0x1EE0,exact,0x1EC5,exact,0x1ED8,exact,0x1ED7,exact
game_time,0x1EE6,0x1E93,exact,0x1E93,exact,0x1F43,exact,0x1EE6,reference,0x1F13,exact,0x1EF8,exact,0x1F0B,exact,0x1F0A,exact
map,0x1F5D,0x1F0A,exact,0x1F0A,exact,0x1FBA,exact,0x1F5D,reference,0x1F8A,exact,0x1F6F,exact,0x1F82,exact,0x1F81,exact
farcall,0x2E27,0x2DE3,exact,0x2DE3,exact,0x2EAE,exact,0x2E27,reference,0x2E54,exact,0x2E39,exact,0x2E4C,exact,0x2E4B,exact
predef,0x2E49,0x2E05,exact,0x2E05,exact,0x2ED0,exact,0x2E49,reference,0x2E76,exact,0x2E5B,exact,0x2E6E,exact,0x2E6D,exact
window,0x2E80,0x2E3C,exact,0x2E3C,exact,0x2F07,exact,0x2E80,reference,0x2EAD,exact,0x2E92,exact,0x2EA5,exact,0x2EA4,exact
flag,0x2F2F,0x2EEB,exact,0x2EEB,exact,0x2FB6,exact,0x2F2F,reference,0x2F5C,exact,0x2F41,exact,0x2F54,exact,0x2F53,exact
sprite_updates,0x2F93,0x2F4F,exact,0x2F4F,exact,0x301A,exact,0x2F93,reference,0x2FC0,exact,0x2FA5,exact,0x2FB8,exact,0x2FB7,exact
string,0x2FB6,0x2F72,exact,0x2F72,exact,0x303D,exact,0x2FB6,reference,0x2FE3,exact,0x2FC8,exact,0x2FDB,exact,0x2FDA,exact
region,0x2FD7,0x2F93,exact,0x2F93,exact,0x3070,exact,0x2FD7,reference,0x3004,exact,0x2FE9,exact,0x2FFC,exact,0x2FFB,exact
item,0x3055,0x3011,exact,0x3011,exact,0x30EE,exact,0x3055,reference,0x3082,exact,0x3067,exact,0x307A,exact,0x3079,exact
random,0x30A2,0x305E,exact,0x305E,exact,0x313B,exact,0x30A2,reference,0x30CF,exact,0x30B4,exact,0x30C7,exact,0x30C6,exact
sram,0x30E1,0x309D,exact,0x309D,exact,0x317A,exact,0x30E1,reference,0x310E,exact,0x30F3,exact,0x3106,exact,0x3105,exact
call_regs,0x30FC,0x30B8,exact,0x30B8,exact,0x31A4,exact,0x30FC,reference,0x3129,exact,0x310E,exact,0x3121,exact,0x3120,exact
