start,end,length,distinct_patterns
0x0009,0x000A,2,7
0x0018,0x0024,13,2
0x0038,0x003E,7,2
0x0059,0x0059,1,3
0x0061,0x0061,1,3
0x0102,0x0102,1,3
0x0142,0x0143,2,7
0x0146,0x0146,1,2
0x0148,0x0148,1,2
0x014A,0x014A,1,2
0x014C,0x014F,4,8
0x0169,0x016A,2,7
0x0197,0x0198,2,3
0x01AA,0x01AB,2,7
0x01AF,0x01AF,1,3
0x01B4,0x01B5,2,7
0x01B7,0x01B8,2,7
0x01BA,0x01BA,1,7
0x01BD,0x01BE,2,7
0x01C0,0x01C1,2,7
0x01CC,0x01CD,2,3
0x01CF,0x01D0,2,3
0x01D6,0x01D7,2,3
0x01D9,0x01DA,2,3
0x01E0,0x01E1,2,3
0x01E3,0x01E3,1,3
0x01EC,0x01ED,2,3
0x01F7,0x01F8,2,3
0x0207,0x0208,2,7
0x020A,0x020B,2,7
0x020F,0x023A,44,3
0x023C,0x023C,1,2
0x0242,0x0242,1,3
0x0245,0x0246,2,3
0x024A,0x024B,2,3
0x024F,0x0250,2,3
0x0258,0x0259,2,3
0x025B,0x025C,2,7
0x025E,0x025F,2,7
0x0264,0x0264,1,3
0x0268,0x0269,2,3
0x026B,0x026C,2,7
0x0274,0x0275,2,3
0x027B,0x027C,2,3
0x0282,0x0282,1,3
0x0287,0x0288,2,7
0x028A,0x028B,2,7
0x028E,0x028F,2,3
0x0291,0x0291,1,3
0x02A4,0x02A5,2,3
0x02B3,0x02B4,2,3
0x02BC,0x02BD,2,3
0x02C1,0x02C2,2,3
0x02DA,0x02DA,1,3
0x02DF,0x02E0,2,3
0x02F2,0x02F3,2,7
0x02F5,0x02F6,2,7
0x02F8,0x02F9,2,7
0x02FB,0x02FB,1,7
0x02FE,0x02FF,2,7
0x0305,0x0306,2,3
0x0308,0x0309,2,3
0x030F,0x0310,2,3
0x0322,0x0323,2,3
0x0331,0x0332,2,3
0x0336,0x0337,2,3
0x034A,0x034A,1,2
0x034D,0x034E,2,3
0x0353,0x0354,2,5
0x035A,0x035B,2,5
0x0361,0x0362,2,3
0x039E,0x039E,1,3
0x03A5,0x03A5,1,3
0x03DB,0x03DB,1,3
0x03DF,0x03DF,1,3
0x0420,0x044B,44,2
0x044D,0x0458,12,2
0x045A,0x04AD,84,7
0x04AF,0x04B7,9,2
0x04BC,0x04BC,1,2
0x04BE,0x04CA,13,2
0x04CC,0x04CE,3,2
0x04D0,0x0668,409,7
0x066A,0x0670,7,2
0x0672,0x1097,2598,7
0x1099,0x109E,6,6
0x10A0,0x10A5,6,6
0x10A7,0x10AC,6,6
0x10AE,0x10B3,6,6
0x10B5,0x10BA,6,6
0x10BC,0x10C1,6,6
0x10C3,0x10C8,6,6
0x10CA,0x10CF,6,6
0x10D1,0x3FED,12061,8
